Phi,P, Mass_Flow_Rate_C1-Inlet1_2, Reactant_N2_(mole_fraction), Temperature_(K),H2, H,O,O2,OH,H2O, CO,CO2,NO,NO2,N2
2.3,10,86,1,2170.41,0.0471000000,0.0003270000,0.0000004820,0.0000004670,0.0000992000,0.1070000000,0.2150000000,0.0947000000,0.0000141000,0.0000000000,0.5350000000
2.3,10,114,2,1963.27,0.0438000000,0.0000841000,0.0000000228,0.0000000382,0.0000161000,0.0902000000,0.1830000000,0.0849000000,0.0000013800,0.0000000000,0.5980000000
2.3,10,142,3,1798.46,0.0413000000,0.0000247000,0.0000000014,0.0000000973,0.0000030200,0.0769000000,0.1590000000,0.0776000000,0.0000001280,0.0000000000,0.6450000000
2.3,10,170,4,1664.56,0.0394000000,0.0000108000,0.0000000002,0.0000003320,0.0000008530,0.0663000000,0.1400000000,0.0718000000,0.0000000298,0.0000000000,0.6830000000
2.3,50,86,1,2171.87,0.0472000000,0.0001470000,0.0000000982,0.0000000951,0.0000449000,0.1080000000,0.2150000000,0.0947000000,0.0000064100,0.0000000000,0.5350000000
2.3,50,114,2,1963.62,0.0438000000,0.0000374000,0.0000000045,0.0000000071,0.0000071800,0.0903000000,0.1830000000,0.0849000000,0.0000001840,0.0000000000,0.5980000000
2.3,50,142,3,1798.57,0.0413000000,0.0000102000,0.0000000000,0.0000000177,0.0000012500,0.0769000000,0.1590000000,0.0776000000,0.0000000049,0.0000000000,0.6450000000
2.3,50,170,4,1664.64,0.0394000000,-0.0000030600,0.0000000000,-0.0000000789,-0.0000002420,0.0663000000,0.1400000000,0.0718000000,0.0000000000,0.0000000000,0.6830000000
2.3,100,86,1,2172.24,0.0472000000,0.0001040000,0.0000000493,0.0000000478,0.0000318000,0.1080000000,0.2150000000,0.0947000000,0.0000045100,0.0000000000,0.5350000000
2.3,100,114,2,1963.7,0.0438000000,0.0000265000,0.0000000000,0.0000000030,0.0000050800,0.0903000000,0.1830000000,0.0849000000,0.0000000725,0.0000000000,0.5980000000
2.3,100,142,3,1798.59,0.0413000000,0.0000072100,0.0000000000,0.0000000057,0.0000008810,0.0769000000,0.1590000000,0.0776000000,0.0000000000,0.0000000000,0.6450000000
2.3,100,170,4,1664.56,0.0394000000,0.0000021000,0.0000000000,0.0000000226,0.0000001660,0.0663000000,0.1400000000,0.0718000000,0.0000000000,0.0000000000,0.6830000000
